product_id,name,regular_price,promo_price,brand,city
1000389522,Кокосовое молоко Thai Coco 5-7% 400мл,189.99,129.99,Thai Coco,moscow
1000222650,Каша Агуша Засыпай-ка молочно-злаковая с грушей и бананом 2.7% 200мл,79.98,46.99,Агуша,moscow
1891200088,Сыр плавленый President Сливочный 40% 150г,169.99,119.99,President,moscow
1000247234,Яйцо куриное Окское С0 столовое 10шт,,129.99,Окское,moscow
1000526829,Сырок Сыркофф творожный малина с печеньем 23% 40г,,29.99,Сыркофф,moscow
1000501598,Майонез Провансаль Mr. Ricco 67% 340г,134.99,94.99,Mr. Ricco,moscow
1000452079,Напиток Green Milk соевый банан 1% 1л,,124.99,Green Milk,moscow
1000572440,Напиток Фругурт кисломолочный со вкусом персика 1% 930г,,119.0,Фругурт,moscow
8000045828,Майонез Слобода Оливковый 67% 197г,77.99,64.99,Слобода,moscow
1000402146,Сырок творожный Сыркофф Кокос 23% 40г,,27.99,Сыркофф,moscow
1000564007,Творог Клубника Агуша 3.9% 100г,,44.99,Агуша,moscow
1000277219,Майонез Скит Провансаль 67% 400мл,,139.99,Скит,moscow
1000401679,Творог 101 Зерно + Сливки зернистый манго-маракуйя 5% 130г,,67.99,Савушкин,moscow
1829990270,Масса творожная Брянский МК с курагой 20% 500г,179.99,159.99,Брянский МК,moscow
1000334603,Питьевой йогурт со вкусом Клубничный пломбир Растишка 2.8% 190г в ассортименте,,79.99,Растишка,moscow
1000330511,Молоко Село Зеленое козье ультрапастеризованное 2.8-5.6% 200г,,69.99,Село Зеленое,moscow
1000524636,Кисломолочный продукт Актимуно киви клубника и цинк 1.5% 95г,,39.99,Actimuno,moscow
1000117018,Творожный сырок А.Ростагрокомплекс в молочном шоколаде с ванилью 15% 25г*6шт,309.99,253.99,А.Ростагрокомплекс,moscow
1000201629,Йогурт питьевой Чудо Клубника земляника 1.9% 260г,84.99,62.99,Чудо,moscow
1000354755,Десерт Завод им.В.П.Пастухова Зефир молочный в бельгийском шоколаде 60г,,134.99,ЗГДиОП им. В.П. Пастухова,moscow
1000380544,Йогурт питьевой Epica Клубника маракуйя 2.5% 260мл,,69.99,Epica,moscow
1000233192,Напиток овсяный Nemoloko Классический 3.2% 1л,159.99,99.0,Nemoloko,moscow
1000472412,Напиток овсяный Nemoloko классический 1.5% 200мл,,29.99,Nemoloko,moscow
1000452314,Сыр Село Зеленое Гауда Премиум нарезка 40% 130г,199.99,176.99,Село Зеленое,moscow
1000093974,Сырок творожный Ростагроэкспорт с ванилином 16.5% 90г,,54.99,А.Ростагрокомплекс,moscow
1000047329,Десерт творожный Чудо Персик груша 4.2% 100г,74.99,52.99,Чудо,moscow
1000517535,Балык Станицыно копчёный 40% весовой,449.97,359.97,Станицыно,moscow
1000047322,Десерт творожный Чудо Вишня черешня 4% 100г,74.99,52.99,Чудо,moscow
8000022363,Йогурт Растишка питьевой пломбир голубика 1.6% 90г,,29.99,Растишка,moscow
